AL,Major Cardiovascular Disease,9.9
AL,Major Cardiovascular Disease,11.0
AL,Major Cardiovascular Disease,12.5
AL,Major Cardiovascular Disease,11.8
AL,Major Cardiovascular Disease,8.3
AL,Major Cardiovascular Disease,9.6
AL,Major Cardiovascular Disease,0.0
AL,Major Cardiovascular Disease,3.8
AL,Major Cardiovascular Disease,13.4
AL,Major Cardiovascular Disease,27.0
AL,Major Cardiovascular Disease,15.2
AL,Major Cardiovascular Disease,30.7
AL,Major Cardiovascular Disease,11.5
AL,Major Cardiovascular Disease,9.5
AL,Major Cardiovascular Disease,10.2
AL,Major Cardiovascular Disease,9.6
AL,Major Cardiovascular Disease,0.0
AL,Major Cardiovascular Disease,0.0
AL,Major Cardiovascular Disease,0.0
AL,Major Cardiovascular Disease,9.7
AL,Major Cardiovascular Disease,16.8
AL,Major Cardiovascular Disease,15.8
AK,Major Cardiovascular Disease,6.5
AK,Major Cardiovascular Disease,5.9
AK,Major Cardiovascular Disease,6.8
AK,Major Cardiovascular Disease,6.0
AK,Major Cardiovascular Disease,6.2
AK,Major Cardiovascular Disease,5.8
AK,Major Cardiovascular Disease,0.0
AK,Major Cardiovascular Disease,1.7
AK,Major Cardiovascular Disease,7.0
AK,Major Cardiovascular Disease,24.2
AK,Major Cardiovascular Disease,9.0
AK,Major Cardiovascular Disease,33.5
AK,Major Cardiovascular Disease,5.9
AK,Major Cardiovascular Disease,6.3
AK,Major Cardiovascular Disease,0.0
AK,Major Cardiovascular Disease,0.0
AK,Major Cardiovascular Disease,0.0
AK,Major Cardiovascular Disease,0.0
AK,Major Cardiovascular Disease,0.0
AK,Major Cardiovascular Disease,0.0
AK,Major Cardiovascular Disease,8.8
AK,Major Cardiovascular Disease,10.0
AZ,Major Cardiovascular Disease,8.0
AZ,Major Cardiovascular Disease,8.5
AZ,Major Cardiovascular Disease,9.7
AZ,Major Cardiovascular Disease,9.5
AZ,Major Cardiovascular Disease,6.6
AZ,Major Cardiovascular Disease,7.2
AZ,Major Cardiovascular Disease,0.0
AZ,Major Cardiovascular Disease,2.5
AZ,Major Cardiovascular Disease,9.6
AZ,Major Cardiovascular Disease,23.0
AZ,Major Cardiovascular Disease,11.7
AZ,Major Cardiovascular Disease,28.5
AZ,Major Cardiovascular Disease,9.6
AZ,Major Cardiovascular Disease,7.6
AZ,Major Cardiovascular Disease,0.0
AZ,Major Cardiovascular Disease,0.0
AZ,Major Cardiovascular Disease,0.0
AZ,Major Cardiovascular Disease,0.0
AZ,Major Cardiovascular Disease,7.9
AZ,Major Cardiovascular Disease,6.0
AZ,Major Cardiovascular Disease,8.4
AZ,Major Cardiovascular Disease,9.4
AR,Major Cardiovascular Disease,9.8
AR,Major Cardiovascular Disease,11.0
AR,Major Cardiovascular Disease,12.4
AR,Major Cardiovascular Disease,11.6
AR,Major Cardiovascular Disease,8.2
AR,Major Cardiovascular Disease,9.7
AR,Major Cardiovascular Disease,0.0
AR,Major Cardiovascular Disease,0.0
